CODIGO_PRODUTO;Complemento;DESCRICAO_PRODUTO;CODIGO_COMPONENTE;Complemento_Componente;DESCRICAO_COMPONENTE
100160160009;   ;BICICLETA ARO 14 FIRST PRO MASCULINA 4 ;504010130021;   ;TINTA EM PO GRAFITE METALICO FOSCO 
100160160009;   ;BICICLETA ARO 14 FIRST PRO MASCULINA 4 ;504010130071;   ;TINTA EM PO CINZA 
100160160009;   ;BICICLETA ARO 14 FIRST PRO MASCULINA 4 ;504010130074;   ;TINTA EM PO PRETO W-ECO  
100160160010;   ;BICICLETA ARO 14 FIRST PRO FEMININA 5 ;206030180000;0016  ;PINTURA GARFO DIANTEIRO ARO 14 CINZA 
100160160010;   ;BICICLETA ARO 14 FIRST PRO FEMININA 5 ;206030180001;0016  ;PINTURA GUIDAO ARO 14 CINZA 
100160160010;   ;BICICLETA ARO 14 FIRST PRO FEMININA 5 ;206030180002;0027  ;PINTURA QUADRO ARO 14 ROSA CLARO 
100160160010;   ;BICICLETA ARO 14 FIRST PRO FEMININA 5 ;207010180005;0001  ;PINTURA TAMPA DA MESA PRETO 
100160160010;   ;BICICLETA ARO 14 FIRST PRO FEMININA 5 ;207010180013;0001  ;PINTURA CANOTE DO SELIM PRETO 
100160160010;   ;BICICLETA ARO 14 FIRST PRO FEMININA 5 ;504010130007;   ;TINTA EM PO PRETA 
100160160010;   ;BICICLETA ARO 14 FIRST PRO FEMININA 5 ;504010130015;   ;TINTA EM PO ROSA CLARO 
100160160010;   ;BICICLETA ARO 14 FIRST PRO FEMININA 5 ;504010130071;   ;TINTA EM PO CINZA 
100160160010;   ;BICICLETA ARO 14 FIRST PRO FEMININA 5 ;504010130074;   ;TINTA EM PO PRETO W-ECO  
100190160003;   ;"BICICLETA ARO 14 BTWIN ROBOT 14"" ";206030180007;0018  ;PINTURA QUADRO ARO 14 DEC LARANJA 
100190160003;   ;"BICICLETA ARO 14 BTWIN ROBOT 14"" ";206030180008;0001  ;PINTURA GARFO DIANTEIRO ARO 14 DEC PRET O GRAFITE 
100190160003;   ;"BICICLETA ARO 14 BTWIN ROBOT 14"" ";206030180009;0001  ;PINTURA GUIDAO ARO 14 DEC PRETO GRAFITE 
100190160003;   ;"BICICLETA ARO 14 BTWIN ROBOT 14"" ";207010180005;0001  ;PINTURA TAMPA DA MESA PRETO 
100190160003;   ;"BICICLETA ARO 14 BTWIN ROBOT 14"" ";207010180013;0001  ;PINTURA CANOTE DO SELIM PRETO 
100190160003;   ;"BICICLETA ARO 14 BTWIN ROBOT 14"" ";504010130007;   ;TINTA EM PO PRETA 
100190160003;   ;"BICICLETA ARO 14 BTWIN ROBOT 14"" ";504010130074;   ;TINTA EM PO PRETO W-ECO  
100190160003;   ;"BICICLETA ARO 14 BTWIN ROBOT 14"" ";504010130091;   ;TINTA HIBRID TGIC FREE LARANJA 
100190160003;   ;"BICICLETA ARO 14 BTWIN ROBOT 14"" ";504010130092;   ;TINTA HIBRID TGIC FREE PRETO GRAFITE 
100190160004;   ;"BICICLETA ARO 14 BTWIN UNICORN 14"" ";206030180007;0027  ;PINTURA QUADRO ARO 14 DEC ROSA BEBE 
100190160004;   ;"BICICLETA ARO 14 BTWIN UNICORN 14"" ";206030180008;0027  ;PINTURA GARFO DIANTEIRO ARO 14 DEC ROS A BEBE 
100190160004;   ;"BICICLETA ARO 14 BTWIN UNICORN 14"" ";206030180009;0027  ;PINTURA GUIDAO ARO 14 DEC ROSA BEBE 
100190160004;   ;"BICICLETA ARO 14 BTWIN UNICORN 14"" ";207010180005;0001  ;PINTURA TAMPA DA MESA PRETO 
100190160004;   ;"BICICLETA ARO 14 BTWIN UNICORN 14"" ";207010180013;0001  ;PINTURA CANOTE DO SELIM PRETO 
